,Date,Open,High,Low,Close,Adj Close,Volume
1479,"Feb 18, 2015",52.91,52.91,52.91,52.91,47.25,-
1480,"Feb 17, 2015",52.89,52.89,52.89,52.89,47.24,-
1481,"Feb 13, 2015",52.80,52.80,52.80,52.80,47.16,-
1482,"Feb 12, 2015",52.56,52.56,52.56,52.56,46.94,-
1483,"Feb 11, 2015",52.04,52.04,52.04,52.04,46.48,-
1484,"Feb 10, 2015",52.03,52.03,52.03,52.03,46.47,-
1485,"Feb 09, 2015",51.51,51.51,51.51,51.51,46.00,-
1486,"Feb 06, 2015",51.74,51.74,51.74,51.74,46.21,-
1487,"Feb 05, 2015",51.90,51.90,51.90,51.90,46.35,-
1488,"Feb 04, 2015",51.33,51.33,51.33,51.33,45.84,-
1489,"Feb 03, 2015",51.53,51.53,51.53,51.53,46.02,-
1490,"Feb 02, 2015",50.77,50.77,50.77,50.77,45.34,-
1491,"Jan 30, 2015",50.17,50.17,50.17,50.17,44.81,-
1492,"Jan 29, 2015",50.85,50.85,50.85,50.85,45.41,-
1493,"Jan 28, 2015",50.37,50.37,50.37,50.37,44.99,-
1494,"Jan 27, 2015",51.07,51.07,51.07,51.07,45.61,-
1495,"Jan 26, 2015",51.68,51.68,51.68,51.68,46.16,-
1496,"Jan 23, 2015",51.46,51.46,51.46,51.46,45.96,-
1497,"Jan 22, 2015",51.71,51.71,51.71,51.71,46.18,-
1498,"Jan 21, 2015",50.91,50.91,50.91,50.91,45.47,-
1499,"Jan 20, 2015",50.68,50.68,50.68,50.68,45.26,-
1500,"Jan 16, 2015",50.64,50.64,50.64,50.64,45.23,-
1501,"Jan 15, 2015",49.95,49.95,49.95,49.95,44.61,-
1502,"Jan 14, 2015",50.47,50.47,50.47,50.47,45.07,-
1503,"Jan 13, 2015",50.75,50.75,50.75,50.75,45.32,-
1504,"Jan 12, 2015",50.85,50.85,50.85,50.85,45.41,-
1505,"Jan 09, 2015",51.24,51.24,51.24,51.24,45.76,-
1506,"Jan 08, 2015",51.66,51.66,51.66,51.66,46.14,-
1507,"Jan 07, 2015",50.77,50.77,50.77,50.77,45.34,-
1508,"Jan 06, 2015",50.17,50.17,50.17,50.17,44.81,-
1509,"Jan 05, 2015",50.66,50.66,50.66,50.66,45.24,-
1510,"Jan 02, 2015",51.57,51.57,51.57,51.57,46.06,-
1511,"Dec 31, 2014",51.60,51.60,51.60,51.60,46.08,-
1512,"Dec 30, 2014",52.10,52.10,52.10,52.10,46.53,-
1513,"Dec 29, 2014",52.35,52.35,52.35,52.35,46.75,-
1514,"Dec 26, 2014",52.27,52.27,52.27,52.27,46.68,-
1515,"Dec 24, 2014",52.08,52.08,52.08,52.08,46.51,-
1516,"Dec 23, 2014",52.06,52.06,52.06,52.06,46.49,-
1517,"Dec 22, 2014",51.97,51.97,51.97,51.97,46.41,-
1518,"Dec 19, 2014",51.76,51.76,51.76,51.76,45.98,-
1519,"Dec 18, 2014",51.80,51.80,51.80,51.80,46.02,-
1520,"Dec 17, 2014",50.64,50.64,50.64,50.64,44.99,-
1521,"Dec 16, 2014",49.57,49.57,49.57,49.57,44.04,-
1522,"Dec 15, 2014",49.95,49.95,49.95,49.95,44.37,-
1523,"Dec 12, 2014",50.30,50.30,50.30,50.30,44.69,-
1524,"Dec 11, 2014",51.09,51.09,51.09,51.09,45.39,-
1525,"Dec 10, 2014",50.85,50.85,50.85,50.85,45.17,-
1526,"Dec 09, 2014",51.73,51.73,51.73,51.73,45.96,-
1527,"Dec 08, 2014",51.66,51.66,51.66,51.66,45.89,-
1528,"Dec 05, 2014",52.06,52.06,52.06,52.06,46.25,-
1529,"Dec 04, 2014",51.95,51.95,51.95,51.95,46.15,-
1530,"Dec 03, 2014",52.02,52.02,52.02,52.02,46.21,-
1531,"Dec 02, 2014",51.77,51.77,51.77,51.77,45.99,-
1532,"Dec 01, 2014",51.43,51.43,51.43,51.43,45.69,-
1533,"Nov 28, 2014",51.87,51.87,51.87,51.87,46.08,-
1534,"Nov 26, 2014",52.07,52.07,52.07,52.07,46.26,-
1535,"Nov 25, 2014",51.92,51.92,51.92,51.92,46.13,-
1536,"Nov 24, 2014",51.96,51.96,51.96,51.96,46.16,-
1537,"Nov 21, 2014",51.76,51.76,51.76,51.76,45.98,-
1538,"Nov 20, 2014",51.49,51.49,51.49,51.49,45.74,-
1539,"Nov 19, 2014",51.34,51.34,51.34,51.34,45.61,-
1540,"Nov 18, 2014",51.46,51.46,51.46,51.46,45.72,-
1541,"Nov 17, 2014",51.18,51.18,51.18,51.18,45.47,-
1542,"Nov 14, 2014",51.19,51.19,51.19,51.19,45.48,-
1543,"Nov 13, 2014",51.17,51.17,51.17,51.17,45.46,-
1544,"Nov 12, 2014",51.20,51.20,51.20,51.20,45.49,-
1545,"Nov 11, 2014",51.18,51.18,51.18,51.18,45.47,-
1546,"Nov 10, 2014",51.15,51.15,51.15,51.15,45.44,-
1547,"Nov 07, 2014",50.98,50.98,50.98,50.98,45.29,-
1548,"Nov 06, 2014",50.95,50.95,50.95,50.95,45.26,-
1549,"Nov 05, 2014",50.72,50.72,50.72,50.72,45.06,-
1550,"Nov 04, 2014",50.46,50.46,50.46,50.46,44.83,-
1551,"Nov 03, 2014",50.64,50.64,50.64,50.64,44.99,-
1552,"Oct 31, 2014",50.64,50.64,50.64,50.64,44.99,-
1553,"Oct 30, 2014",50.03,50.03,50.03,50.03,44.45,-
1554,"Oct 29, 2014",49.72,49.72,49.72,49.72,44.17,-
1555,"Oct 28, 2014",49.81,49.81,49.81,49.81,44.25,-
1556,"Oct 27, 2014",49.15,49.15,49.15,49.15,43.66,-
1557,"Oct 24, 2014",49.22,49.22,49.22,49.22,43.73,-
1558,"Oct 23, 2014",48.91,48.91,48.91,48.91,43.45,-
1559,"Oct 22, 2014",48.29,48.29,48.29,48.29,42.90,-
1560,"Oct 21, 2014",48.69,48.69,48.69,48.69,43.26,-
1561,"Oct 20, 2014",47.74,47.74,47.74,47.74,42.41,-
1562,"Oct 17, 2014",47.29,47.29,47.29,47.29,42.01,-
1563,"Oct 16, 2014",46.76,46.76,46.76,46.76,41.54,-
1564,"Oct 15, 2014",46.64,46.64,46.64,46.64,41.43,-
1565,"Oct 14, 2014",46.91,46.91,46.91,46.91,41.67,-
1566,"Oct 13, 2014",46.77,46.77,46.77,46.77,41.55,-
1567,"Oct 10, 2014",47.52,47.52,47.52,47.52,42.22,-
1568,"Oct 09, 2014",48.13,48.13,48.13,48.13,42.76,-
1569,"Oct 08, 2014",49.17,49.17,49.17,49.17,43.68,-
1570,"Oct 07, 2014",48.34,48.34,48.34,48.34,42.94,-
1571,"Oct 06, 2014",49.09,49.09,49.09,49.09,43.61,-
1572,"Oct 03, 2014",49.20,49.20,49.20,49.20,43.71,-
1573,"Oct 02, 2014",48.67,48.67,48.67,48.67,43.24,-
1574,"Oct 01, 2014",48.62,48.62,48.62,48.62,43.19,-
1575,"Sep 30, 2014",49.29,49.29,49.29,49.29,43.79,-
1576,"Sep 29, 2014",49.50,49.50,49.50,49.50,43.98,-
1577,"Sep 26, 2014",49.61,49.61,49.61,49.61,44.07,-
1578,"Sep 25, 2014",49.19,49.19,49.19,49.19,43.70,-
1579,"Sep 24, 2014",49.98,49.98,49.98,49.98,44.40,-
1580,"Sep 23, 2014",49.60,49.60,49.60,49.60,44.06,-
1581,"Sep 22, 2014",50.13,50.13,50.13,50.13,44.33,-
1582,"Sep 19, 2014",50.61,50.61,50.61,50.61,44.76,-
1583,"Sep 18, 2014",50.69,50.69,50.69,50.69,44.83,-
1584,"Sep 17, 2014",50.46,50.46,50.46,50.46,44.63,-
1585,"Sep 16, 2014",50.39,50.39,50.39,50.39,44.56,-
1586,"Sep 15, 2014",50.03,50.03,50.03,50.03,44.25,-
1587,"Sep 12, 2014",50.16,50.16,50.16,50.16,44.36,-
1588,"Sep 11, 2014",50.49,50.49,50.49,50.49,44.65,-
1589,"Sep 10, 2014",50.40,50.40,50.40,50.40,44.57,-
1590,"Sep 09, 2014",50.21,50.21,50.21,50.21,44.40,-
1591,"Sep 08, 2014",50.57,50.57,50.57,50.57,44.72,-
1592,"Sep 05, 2014",50.68,50.68,50.68,50.68,44.82,-
1593,"Sep 04, 2014",50.44,50.44,50.44,50.44,44.61,-
1594,"Sep 03, 2014",50.54,50.54,50.54,50.54,44.70,-
1595,"Sep 02, 2014",50.60,50.60,50.60,50.60,44.75,-
1596,"Aug 29, 2014",50.58,50.58,50.58,50.58,44.73,-
1597,"Aug 28, 2014",50.39,50.39,50.39,50.39,44.56,-
1598,"Aug 27, 2014",50.48,50.48,50.48,50.48,44.64,-
1599,"Aug 26, 2014",50.48,50.48,50.48,50.48,44.64,-
1600,"Aug 25, 2014",50.38,50.38,50.38,50.38,44.56,-
1601,"Aug 22, 2014",50.15,50.15,50.15,50.15,44.35,-
1602,"Aug 21, 2014",50.22,50.22,50.22,50.22,44.41,-
1603,"Aug 20, 2014",50.09,50.09,50.09,50.09,44.30,-
1604,"Aug 19, 2014",49.98,49.98,49.98,49.98,44.20,-
1605,"Aug 18, 2014",49.74,49.74,49.74,49.74,43.99,-
1606,"Aug 15, 2014",49.28,49.28,49.28,49.28,43.58,-
1607,"Aug 14, 2014",49.28,49.28,49.28,49.28,43.58,-
1608,"Aug 13, 2014",49.07,49.07,49.07,49.07,43.40,-
1609,"Aug 12, 2014",48.71,48.71,48.71,48.71,43.08,-
1610,"Aug 11, 2014",48.83,48.83,48.83,48.83,43.18,-
1611,"Aug 08, 2014",48.65,48.65,48.65,48.65,43.03,-
1612,"Aug 07, 2014",48.11,48.11,48.11,48.11,42.55,-
1613,"Aug 06, 2014",48.36,48.36,48.36,48.36,42.77,-
1614,"Aug 05, 2014",48.34,48.34,48.34,48.34,42.75,-
1615,"Aug 04, 2014",48.76,48.76,48.76,48.76,43.12,-
1616,"Aug 01, 2014",48.41,48.41,48.41,48.41,42.81,-
1617,"Jul 31, 2014",48.55,48.55,48.55,48.55,42.94,-
1618,"Jul 30, 2014",49.55,49.55,49.55,49.55,43.82,-
1619,"Jul 29, 2014",49.51,49.51,49.51,49.51,43.79,-
1620,"Jul 28, 2014",49.70,49.70,49.70,49.70,43.95,-
1621,"Jul 25, 2014",49.71,49.71,49.71,49.71,43.96,-
1622,"Jul 24, 2014",49.98,49.98,49.98,49.98,44.20,-
1623,"Jul 23, 2014",49.95,49.95,49.95,49.95,44.17,-
1624,"Jul 22, 2014",49.86,49.86,49.86,49.86,44.10,-
1625,"Jul 21, 2014",49.60,49.60,49.60,49.60,43.87,-
1626,"Jul 18, 2014",49.72,49.72,49.72,49.72,43.97,-
1627,"Jul 17, 2014",49.18,49.18,49.18,49.18,43.49,-
1628,"Jul 16, 2014",49.78,49.78,49.78,49.78,44.02,-
1629,"Jul 15, 2014",49.61,49.61,49.61,49.61,43.87,-
1630,"Jul 14, 2014",49.75,49.75,49.75,49.75,44.00,-
1631,"Jul 11, 2014",49.52,49.52,49.52,49.52,43.79,-
1632,"Jul 10, 2014",49.46,49.46,49.46,49.46,43.74,-
1633,"Jul 09, 2014",49.69,49.69,49.69,49.69,43.94,-
1634,"Jul 08, 2014",49.47,49.47,49.47,49.47,43.75,-
1635,"Jul 07, 2014",49.85,49.85,49.85,49.85,44.09,-
1636,"Jul 03, 2014",50.14,50.14,50.14,50.14,44.34,-
1637,"Jul 02, 2014",49.87,49.87,49.87,49.87,44.10,-
1638,"Jul 01, 2014",49.89,49.89,49.89,49.89,44.12,-
1639,"Jun 30, 2014",49.53,49.53,49.53,49.53,43.80,-
1640,"Jun 27, 2014",49.50,49.50,49.50,49.50,43.78,-
1641,"Jun 26, 2014",49.37,49.37,49.37,49.37,43.66,-
1642,"Jun 25, 2014",49.42,49.42,49.42,49.42,43.71,-
1643,"Jun 24, 2014",49.16,49.16,49.16,49.16,43.48,-
1644,"Jun 23, 2014",49.50,49.50,49.50,49.50,43.78,-
1645,"Jun 20, 2014",49.72,49.72,49.72,49.72,43.79,-
1646,"Jun 19, 2014",49.62,49.62,49.62,49.62,43.70,-
1647,"Jun 18, 2014",49.55,49.55,49.55,49.55,43.64,-
1648,"Jun 17, 2014",49.19,49.19,49.19,49.19,43.32,-
1649,"Jun 16, 2014",49.03,49.03,49.03,49.03,43.18,-
1650,"Jun 13, 2014",48.98,48.98,48.98,48.98,43.14,-
1651,"Jun 12, 2014",48.82,48.82,48.82,48.82,43.00,-
1652,"Jun 11, 2014",49.15,49.15,49.15,49.15,43.29,-
1653,"Jun 10, 2014",49.32,49.32,49.32,49.32,43.44,-
1654,"Jun 09, 2014",49.35,49.35,49.35,49.35,43.46,-
1655,"Jun 06, 2014",49.27,49.27,49.27,49.27,43.39,-
1656,"Jun 05, 2014",49.01,49.01,49.01,49.01,43.16,-
1657,"Jun 04, 2014",48.64,48.64,48.64,48.64,42.84,-
1658,"Jun 03, 2014",48.51,48.51,48.51,48.51,42.72,-
1659,"Jun 02, 2014",48.53,48.53,48.53,48.53,42.74,-
1660,"May 30, 2014",48.49,48.49,48.49,48.49,42.71,-
1661,"May 29, 2014",48.45,48.45,48.45,48.45,42.67,-
1662,"May 28, 2014",48.19,48.19,48.19,48.19,42.44,-
1663,"May 27, 2014",48.26,48.26,48.26,48.26,42.50,-
1664,"May 23, 2014",47.93,47.93,47.93,47.93,42.21,-
1665,"May 22, 2014",47.69,47.69,47.69,47.69,42.00,-
1666,"May 21, 2014",47.54,47.54,47.54,47.54,41.87,-
1667,"May 20, 2014",47.17,47.17,47.17,47.17,41.54,-
1668,"May 19, 2014",47.52,47.52,47.52,47.52,41.85,-
1669,"May 16, 2014",47.29,47.29,47.29,47.29,41.65,-
1670,"May 15, 2014",47.11,47.11,47.11,47.11,41.49,-
1671,"May 14, 2014",47.53,47.53,47.53,47.53,41.86,-
1672,"May 13, 2014",47.79,47.79,47.79,47.79,42.09,-
1673,"May 12, 2014",47.83,47.83,47.83,47.83,42.13,-
1674,"May 09, 2014",47.29,47.29,47.29,47.29,41.65,-
1675,"May 08, 2014",47.18,47.18,47.18,47.18,41.55,-
1676,"May 07, 2014",47.30,47.30,47.30,47.30,41.66,-
1677,"May 06, 2014",47.06,47.06,47.06,47.06,41.45,-
1678,"May 05, 2014",47.52,47.52,47.52,47.52,41.85,-
1679,"May 02, 2014",47.45,47.45,47.45,47.45,41.79,-
1680,"May 01, 2014",47.48,47.48,47.48,47.48,41.82,-
1681,"Apr 30, 2014",47.46,47.46,47.46,47.46,41.80,-
1682,"Apr 29, 2014",47.29,47.29,47.29,47.29,41.65,-
1683,"Apr 28, 2014",47.05,47.05,47.05,47.05,41.44,-
1684,"Apr 25, 2014",46.98,46.98,46.98,46.98,41.38,-
1685,"Apr 24, 2014",47.44,47.44,47.44,47.44,41.78,-
1686,"Apr 23, 2014",47.39,47.39,47.39,47.39,41.74,-
1687,"Apr 22, 2014",47.53,47.53,47.53,47.53,41.86,-
1688,"Apr 21, 2014",47.27,47.27,47.27,47.27,41.63,-
1689,"Apr 17, 2014",47.08,47.08,47.08,47.08,41.47,-
1690,"Apr 16, 2014",47.00,47.00,47.00,47.00,41.39,-
1691,"Apr 15, 2014",46.49,46.49,46.49,46.49,40.95,-
1692,"Apr 14, 2014",46.19,46.19,46.19,46.19,40.68,-
1693,"Apr 11, 2014",45.86,45.86,45.86,45.86,40.39,-
1694,"Apr 10, 2014",46.33,46.33,46.33,46.33,40.80,-
1695,"Apr 09, 2014",47.37,47.37,47.37,47.37,41.72,-
1696,"Apr 08, 2014",46.82,46.82,46.82,46.82,41.24,-
1697,"Apr 07, 2014",46.60,46.60,46.60,46.60,41.04,-
